plane,busy_ns,utilization
223,2000,0.0320067
224,2000,0.0320067
225,2000,0.0320067
226,2000,0.0320067
227,2000,0.0320067
228,2000,0.0320067
229,2000,0.0320067
230,2000,0.0320067
231,2000,0.0320067
232,2000,0.0320067
233,2000,0.0320067
234,2000,0.0320067
235,2000,0.0320067
236,2000,0.0320067
237,2000,0.0320067
238,2000,0.0320067
239,2000,0.0320067
240,2000,0.0320067
241,2000,0.0320067
242,2000,0.0320067
243,2000,0.0320067
244,2000,0.0320067
245,2000,0.0320067
246,2000,0.0320067
247,2000,0.0320067
248,2000,0.0320067
249,2000,0.0320067
250,2000,0.0320067
251,2000,0.0320067
252,2000,0.0320067
253,2000,0.0320067
254,2000,0.0320067
255,2000,0.0320067
256,2000,0.0320067
257,2000,0.0320067
258,2000,0.0320067
259,2000,0.0320067
260,2000,0.0320067
261,2000,0.0320067
262,2000,0.0320067
263,2000,0.0320067
264,2000,0.0320067
265,2000,0.0320067
266,2000,0.0320067
267,2000,0.0320067
268,2000,0.0320067
269,2000,0.0320067
270,2000,0.0320067
271,2000,0.0320067
272,2000,0.0320067
273,2000,0.0320067
274,2000,0.0320067
275,2000,0.0320067
276,2000,0.0320067
277,2000,0.0320067
278,2000,0.0320067
279,2000,0.0320067
280,2000,0.0320067
281,2000,0.0320067
282,2000,0.0320067
283,2000,0.0320067
284,2000,0.0320067
285,2000,0.0320067
286,2000,0.0320067
287,2000,0.0320067
288,2000,0.0320067
289,2000,0.0320067
290,2000,0.0320067
291,2000,0.0320067
292,2000,0.0320067
293,2000,0.0320067
294,2000,0.0320067
295,2000,0.0320067
296,2000,0.0320067
297,2000,0.0320067
298,2000,0.0320067
299,2000,0.0320067
300,2000,0.0320067
301,2000,0.0320067
302,2000,0.0320067
303,2000,0.0320067
304,2000,0.0320067
305,2000,0.0320067
306,2000,0.0320067
307,2000,0.0320067
308,2000,0.0320067
309,2000,0.0320067
310,2000,0.0320067
311,2000,0.0320067
312,2000,0.0320067
313,2000,0.0320067
314,2000,0.0320067
315,2000,0.0320067
316,2000,0.0320067
317,2000,0.0320067
318,2000,0.0320067
319,2000,0.0320067
320,2000,0.0320067
321,2000,0.0320067
322,2000,0.0320067
323,2000,0.0320067
324,2000,0.0320067
325,2000,0.0320067
326,2000,0.0320067
327,2000,0.0320067
328,2000,0.0320067
329,2000,0.0320067
330,2000,0.0320067
331,2000,0.0320067
332,2000,0.0320067
333,2000,0.0320067
334,2000,0.0320067
335,2000,0.0320067
336,2000,0.0320067
337,2000,0.0320067
338,2000,0.0320067
339,2000,0.0320067
340,2000,0.0320067
341,2000,0.0320067
342,2000,0.0320067
343,2000,0.0320067
344,2000,0.0320067
345,2000,0.0320067
346,2000,0.0320067
347,2000,0.0320067
348,2000,0.0320067
349,2000,0.0320067
350,2000,0.0320067
351,2000,0.0320067
352,2000,0.0320067
353,2000,0.0320067
354,2000,0.0320067
355,2000,0.0320067
356,2000,0.0320067
357,2000,0.0320067
358,2000,0.0320067
359,2000,0.0320067
360,2000,0.0320067
361,2000,0.0320067
362,2000,0.0320067
363,2000,0.0320067
364,2000,0.0320067
365,2000,0.0320067
366,2000,0.0320067
367,2000,0.0320067
368,2000,0.0320067
369,2000,0.0320067
370,2000,0.0320067
371,2000,0.0320067
372,2000,0.0320067
373,2000,0.0320067
374,2000,0.0320067
375,2000,0.0320067
376,2000,0.0320067
377,2000,0.0320067
378,2000,0.0320067
379,2000,0.0320067
380,2000,0.0320067
381,2000,0.0320067
382,2000,0.0320067
383,2000,0.0320067
384,2000,0.0320067
385,2000,0.0320067
386,2000,0.0320067
387,2000,0.0320067
388,2000,0.0320067
